title,authors,average_rating,publication_year
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,2006
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,2004
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,2003
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,2004
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2004
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,2005
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,2005
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,2005
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,2002
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,2004
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,2005
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,1996
A Short History of Nearly Everything,Bill Bryson,4.21,2004
Bill Bryson's African Diary,Bill Bryson,3.44,2002
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,2004
In a Sunburned Country,Bill Bryson,4.07,2001
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,2000
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,1990
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,1993
Notes from a Small Island,Bill Bryson,3.91,1997
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,1991
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,2012
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,2004
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,2003
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,2002
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,2003
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,2004
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,2005
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,2000
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1994
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,2001
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,2003
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,2005
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,2005
Changeling (Changeling  #1),Delia Sherman,3.6,2006
The Changeling Sea,Patricia A. McKillip,4.06,2003
The Changeling,Zilpha Keatley Snyder,4.17,2004
The Changeling,Kate Horsley,3.55,2005
The Changeling (Daughters of England  #15),Philippa Carr,3.98,1990
The Known World,Edward P. Jones,3.83,2006
The Known World,Edward P. Jones/Kevin R. Free,3.83,2004
The Known World,Edward P. Jones,3.83,2004
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,2006
Artesia: Adventures in the Known World,Mark Smylie,4.13,2005
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,1982
Uncommon Carriers,John McPhee,3.95,2006
Heirs of General Practice,John McPhee,4.17,1986
The Control of Nature,John McPhee,4.24,1990
Annals of the Former World,John McPhee,4.34,1999
Coming Into the Country,John McPhee,4.22,1991
La Place de la Concorde Suisse,John McPhee,3.92,1994
Giving Good Weight,John McPhee,4.23,1994
Rising from the Plains,John McPhee,4.23,1987
The Heidi Chronicles,Wendy Wasserstein,3.75,2002
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,1991
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,2006
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,2006
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,2003
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,1997
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,2002
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,2004
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,2003
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,2003
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,2004
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,2004
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,1987
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,1987
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,1987
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,2004
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,1984
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,2006
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,1987
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,2002
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,1996
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,2005
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,2004
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,2006
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,2000
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,2005
eBay for Dummies,Marsha Collier,3.5,2006
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,2006
Starting an eBay Business for Dummies,Marsha Collier,3.55,2004
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,2006
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,2004
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,2005
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,2006
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,2005
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,2005
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,2007
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,2004
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,2002
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,2003
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,1965
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,2003
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,2004
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,2004
Dinner with Anna Karenina,Gloria Goldreich,2.99,2006
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,1987
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,1990
The Untouchable,John Banville,3.95,1998
The Untouchables,Eliot Ness/Oscar Fraley,3.89,1996
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,2005
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,1995
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,2000
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,2003
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,1991
Wrinkles in Time,George Smoot/Keay Davidson,4.01,1994
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,2002
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,2002
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,1984
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,1994
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,2006
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,2005
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,2006
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,2004
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,2005
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,2004
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,1990
I am Charlotte Simmons,Tom Wolfe,3.42,2005
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,2001
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,1996
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,1964
